Source,Target
15290,25867
15290,26221
15290,26321
15290,26441
15290,26501
15290,26753
15290,27265
15290,27272
15290,27293
15290,29731
15290,29810
15290,29862
15290,29939
15290,30045
15290,30048
15290,30409
15290,30559
15290,31765
15290,31931
15290,32564
15290,32580
15290,32956
15290,33164
15290,33300
15290,35887
15290,35938
15290,36031
15290,36273
15290,36354
15290,36452
15290,36543
15290,36676
15290,36817
15290,40191
15290,40224
15290,40232
15290,40337
15290,40543
15290,40884
15290,46129
15290,46156
15290,46554
15290,46612
15290,53390
15290,53405
15290,53442
15290,53583
15290,53661
15290,53737
15290,53800
15290,54085
15290,54191
15290,54412
15290,54429
15290,54461
15290,54643
15290,54655
15290,54719
15290,54877
15290,54889
15290,55267
15290,55288
15290,62525
15290,62666
15290,62761
15290,62875
15290,62925
15290,63017
15290,63372
15290,63411
15290,393388
15290,393461
15290,393653
15290,393952
15296,3359
15296,11257
15296,14426
15296,16580
15296,16623
15296,19220
15296,19423
15296,22512
15296,25635
15296,25872
15296,25925
15296,27275
15296,27623
15296,29747
15296,32716
15296,33091
15296,33549
15296,53403
15296,53906
15296,54307
15296,54453
15296,54477
15296,54520
15296,54884
15296,62623
15296,62742
15296,393468
15318,22953
15348,22652
16523,14066
16523,22652
16523,40191
16532,10865
16532,22652
16532,26480
16532,40191
16570,22652
16570,40191
16696,20218
16696,21659
16696,54980
16866,63052
16949,19821
16949,22652
17001,10965
17266,11239
18451,16395
18451,23523
18451,36493
18451,393445
18588,22652
18650,22652
18650,40191
18705,26281
18997,22652
18997,40191
19016,22652
19016,40191
19052,14270
19086,18563
19117,5111
19117,22652
19117,30176
19117,30528
19117,32678
19117,40191
19234,22652
19234,40191
19467,22652
19467,40191
19515,22652
19515,36648
19515,40191
19752,11727
19752,12093
19752,16729
19752,16730
19752,19052
19752,21992
19752,22652
19752,22995
19752,23457
19752,26838
19752,26884
19752,29953
19752,40191
19752,46156
19752,53877
19752,63001
19842,22652
19842,40191
19875,15296
19875,54182
19875,62596
20069,11544
20161,11037
20161,11234
20161,12070
20161,18686
20161,19875
20161,22339
20161,22652
20161,22766
20161,26441
20161,26680
20161,27232
20161,29883
20161,31790
20161,31931
20161,36008
20161,40050
20161,40191
20161,40758
20161,40949
20161,46300
20161,54487
20161,393388
20324,46612
20365,22652
20365,40191
21513,19062
21513,22652
21513,40191
21513,63023
21548,4055
21548,11807
21548,14112
21548,18563
21548,19700
21548,20007
21548,22652
21548,22964
21548,23498
21548,26198
21548,26516
21548,27280
21548,30003
21548,30236
21548,30409
21548,31983
21548,32563
21548,33705
21548,36068
21548,36231
