code,ip_density,diameter,avg_pgrank,num_intl_countries,num_edges,num_nodes,num_large_providers,avg_deg,avg_bcen,largest_cust_cone,num_announced_ip,num_intl_nodes
CO,0.362,7.0,0.01,8,112,96,0,2.333,0.022,49,7672,16
CN,0.247,8.0,0.003,18,570,369,3,3.089,0.006,632,17178,266
CM,0.014,1.0,0.1,2,8,10,0,1.6,0.072,10,199,2
CL,0.572,6.0,0.007,4,251,148,1,3.392,0.014,152,3378,8
CA,2.006,9.0,0.001,35,2864,1209,5,4.738,0.002,361,17993,209
CG,0.013,2.0,0.083,2,9,12,0,1.5,0.02,5,77,3
CD,0.002,1.0,0.111,2,5,9,0,1.111,0.004,3,86,3
CZ,0.843,7.0,0.002,22,1113,545,2,4.084,0.004,669,1879,142
CY,0.906,7.0,0.01,16,163,101,0,3.228,0.019,42,675,45
MA,0.292,5.0,0.056,5,21,18,0,2.333,0.103,12,847,10
CW,1.253,3.0,0.027,9,36,37,0,1.946,0.015,14,237,20
CV,0.067,2.0,0.333,0,2,3,0,1.333,0.333,3,7,0
CU,0.023,2.0,0.333,0,2,3,0,1.333,0.333,3,23,0
SZ,0.038,2.0,0.333,0,2,3,0,1.333,0.333,4,21,0
SY,0.041,2.0,0.333,0,2,3,0,1.333,0.333,3,134,0
SX,0.639,2.0,0.333,0,2,3,0,1.333,0.333,5,24,2
KG,0.048,7.0,0.042,0,28,24,0,2.333,0.045,14,196,0
KE,0.109,6.0,0.011,15,129,88,0,2.932,0.023,48,877,36
SR,0.151,1.0,0.5,1,1,2,0,1.0,0.0,1,83,1
KH,0.019,6.0,0.005,12,254,186,0,2.731,0.009,22,970,140
KN,1.182,2.0,0.045,4,21,22,0,1.909,0.045,1,7,21
SK,0.495,8.0,0.007,8,207,149,1,2.779,0.016,140,417,39
KR,2.229,5.0,0.002,11,919,606,2,3.033,0.002,1057,6034,529
SI,1.257,7.0,0.003,11,504,291,1,3.464,0.007,157,555,44
KW,0.52,6.0,0.009,18,134,109,0,2.459,0.02,31,1607,62
SN,0.025,1.0,0.5,0,1,2,0,1.0,0.0,2,18,0
SM,1.042,3.0,0.143,1,7,7,0,2.0,0.171,4,86,2
SL,0.009,1.0,0.143,2,6,7,0,1.714,0.057,3,28,2
SC,63.624,2.0,0.083,4,14,12,0,2.333,0.018,3,106,5
KZ,0.17,6.0,0.008,10,202,128,1,3.156,0.015,114,2526,33
KY,2.939,4.0,0.067,3,12,15,0,1.6,0.04,1,50,8
SG,1.367,7.0,0.001,30,1340,820,3,3.268,0.002,2215,5115,600
SE,2.835,7.0,0.001,25,1334,813,2,3.282,0.002,206,3273,351
SD,0.033,2.0,0.125,1,10,8,0,2.5,0.107,7,275,2
DO,0.151,11.0,0.042,3,27,24,0,2.25,0.132,6,630,8
DM,0.223,2.0,0.333,1,2,3,0,1.333,0.333,5,513,2
DJ,0.063,2.0,0.333,1,2,3,0,1.333,0.333,10,87,1
DK,2.34,6.0,0.002,21,690,411,2,3.358,0.005,234,1387,186
DE,1.488,10.0,0.001,24,5831,1698,7,6.868,0.001,18985,10258,328
YE,0.005,1.0,0.5,1,1,2,0,1.0,0.0,1,42,1
AT,1.32,6.0,0.002,15,1223,521,4,4.695,0.004,906,2549,109
DZ,0.096,1.0,0.077,0,9,13,0,1.385,0.013,6,328,3
MK,0.334,6.0,0.018,12,84,55,0,3.055,0.029,26,337,27
LB,0.125,2.0,0.01,5,115,101,0,2.277,0.012,92,1372,7
