AS      | CC | Registry | Allocated  | AS Name
10102   | SG | apnic    | 2010-04-28 | SG-1ASIACOM-AS-AP 1Asia Communication Pte Ltd,SG
10103   | HK | apnic    | 2000-07-10 | HKBN-AS-AP HK Broadband Network Ltd.,HK
10105   | AU | apnic    | 2000-07-11 | OMNI OMNIconnect Pty Ltd,AU
10106   | AU | apnic    | 2015-08-11 | GIPPSTAFE-AS-AP Central Gippsland Institute of TAFE,AU
10108   | HK | apnic    | 2001-11-03 | DRESDNERHK-AP DRESDNER KLEINWORT WASSERSTEIN,HK
10109   | MN | apnic    | 2008-01-04 | TOPNET-AS-MN-AP Topica LLC, Internet Service Provider,Ulaanbaatar, Mongolia,MN
10110   | NZ | apnic    | 2000-07-20 | ASN-MITNZ-AP 
10111   | MY | apnic    | 2000-07-21 | DATAONE-MY-AP AS for DataOne(Malaysia),MY
10113   | AU | apnic    | 2000-07-24 | EFTEL-AS-AP Eftel Limited.,AU
10115   | AU | apnic    | 2000-07-25 | ATOAS-AP Australian Taxation OAffice,AU
10116   | HK | apnic    | 2000-07-25 | HTCL-WAP-HK-AP Hutchison Telephone Company Limited,HK
10118   | HK | apnic    | 2000-07-27 | HTCL-IAS-HK-AP Hutchison Telephone Company Limited,HK
10120   | SG | apnic    | 2000-07-31 | IBM-SG-AP IBM Sinapore Server Farm,SG
10125   | IN | apnic    | 2008-01-07 | INTERGLOBE-AS-AP INTERGLOBE IS A LARGE BPO AND IT COMPANY IN TRAVEL DOMAIN,IN
10126   | TW | apnic    | 2002-08-02 | CHTI-IP-AP Taiwan Internet Gateway,TW
10127   | HK | apnic    | 2001-11-20 | CLSA-AS-AP CLSA Ltd,HK
10128   | AU | apnic    | 2004-04-01 | IAG-AS-AP Optus Customer Network,AU
10129   | AU | apnic    | 2000-08-04 | SSMB-AS-AP Salomon Smith Barney Australia Pty Ltd,AU
10130   | FM | apnic    | 2000-08-04 | AS10130 FSM Telecommunications Corporation,FM
10131   | CK | apnic    | 2000-08-04 | CKTELECOM-CK-AP Telecom Cook Islands,CK
10135   | TW | apnic    | 2000-08-14 | EASPNET-AS-AP EASPNET Inc.,TW
10137   | ID | apnic    | 2000-08-15 | PATRANET-AP Patrakom Internet Service Provider,ID
10138   | HK | apnic    | 2000-08-15 | IVANET-SYD-AP iBasis-Sydney ICO,HK
10139   | PH | apnic    | 2006-11-21 | SMARTBRO-PH-AP Smart Broadband, Inc.,PH
10141   | PH | apnic    | 2007-04-04 | DFNN-AS-AP DFNN Group of Companies,PH
10143   | AU | apnic    | 2004-04-01 | EXETEL-AS-AP Exetel Pty Ltd,AU
10145   | AU | apnic    | 2006-10-04 | SECUREIP-AP SecureIP,AU
10146   | SG | apnic    | 2004-04-02 | FORD-MOTOR-CO-SG-AP Ford Motor Company,SG
10147   | HK | apnic    | 2000-08-24 | DAHSING-HK-AS-AP Dah Sing Bank HK AS,HK
10148   | AU | apnic    | 2003-10-07 | UNIMELB-AS-AP The University of Melbourne, Melbourne, Victoria,AU
10150   | AU | apnic    | 2004-10-28 | TENNET-AU-AP Optus Customer Network,AU
10151   | TH | apnic    | 2007-11-22 | ITONE-CSLOXINFO-AS-TH-AP IT One Co., Ltd.,TH
10152   | AU | apnic    | 2004-07-09 | NEC-MELB-DC-AS-AP NEC Australia Pty Ltd,AU
10155   | KR | apnic    | 2000-09-01 | JBCTV-AS-KR CJ CableNet JoongBusan CATV,KR
10156   | KR | apnic    | 2000-09-01 | SNUE-AS-KR Seoul National University of Education,KR
10158   | KR | apnic    | 2000-09-01 | KAKAO2 KAKACO,KR
10159   | KR | apnic    | 2000-09-01 | HAUNET-AS-KR HANKUK Aviation University,KR
10160   | KR | apnic    | 2000-09-01 | PRISM-AS Intellicenter,KR
10161   | KR | apnic    | 2000-09-01 | QIA-AS-KR QIA,KR
10162   | KR | apnic    | 2000-09-01 | SNUH-AS-KR SNUH,KR
10164   | KR | apnic    | 2000-09-01 | GSD-AS-KR TBROAD GANGSEO,KR
10165   | KR | apnic    | 2000-09-01 | CUSTOMS-AS-KR KOREA CUSTOMS SERVICE,KR
10166   | KR | apnic    | 2000-09-01 | KOWANET-AS-KR Korea Water Resources Corporation,KR
10167   | KR | apnic    | 2000-09-01 | HANVIT-AS HANVIT BANK,KR
10169   | KR | apnic    | 2000-09-01 | AMOREPACIFIC-AS-KR AMOREPACIFIC,KR
10170   | KR | apnic    | 2000-09-01 | BOKNET-AS The Bank of Korea,KR
10171   | KR | apnic    | 2000-09-01 | SKTELINK-AS SKTELINK,KR
10173   | KR | apnic    | 2000-09-01 | KSNET-AS KSNET.Inc,KR
10174   | KR | apnic    | 2000-09-01 | MBC-AS-KR Munhwa Broadcasting Corporation,KR
10175   | KR | apnic    | 2000-09-01 | HCNKUMHO-AS-KR Kumho Cable,KR
10176   | KR | apnic    | 2000-09-01 | TENET-AS Taejon Institute of Education Science,KR
10177   | KR | apnic    | 2000-09-01 | GREENCROSSLIFEINSURANCE-AS-KR GREEN CROSS LIFE INSURANCE Co.,Ltd,KR
10178   | KR | apnic    | 2000-09-01 | KBTUS-AS Korea Baptist Theological University/Seminary,KR
10179   | KR | apnic    | 2000-09-01 | DAETOO-AS Daehan Investment Trust Securities,KR
10180   | KR | apnic    | 2000-09-01 | CCNUE-AS-KR Chuncheon National University of Education,KR
10181   | KR | apnic    | 2000-09-01 | KRS-AS-KR Korea Register of Shipping,KR
10182   | KR | apnic    | 2000-09-01 | ETOMATO-AS ETOMATO CO.Ltd,KR
